post_id,text,platform,timestamp,engagement,label,user_verified,follower_count,account_age_days
post_0000,PUMP ALERT: Everyone buy ABC stock at 2 PM sharp! Let's take it to the moon! 🌙,twitter,2025-08-28 22:18:50.008561,1865,fraudulent,False,17229,116
post_0001,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,instagram,2025-09-04 22:18:50.008578,2009,fraudulent,False,47088,834
post_0002,Market volatility is normal - stick to your investment plan and don't panic,twitter,2025-09-02 22:18:50.008585,52,legitimate,False,45455,998
post_0003,Consider diversifying your portfolio with index funds for long-term growth,whatsapp,2025-08-06 22:18:50.008590,333,legitimate,False,32552,121
post_0004,Consult a SEBI registered advisor before making major investment decisions,facebook,2025-08-18 22:18:50.008594,282,legitimate,False,23769,578
post_0005,Emergency fund should be your first priority before investing,twitter,2025-08-05 22:18:50.008597,18,legitimate,True,29395,535
post_0006,Always read the offer document before investing in any mutual fund scheme,twitter,2025-08-15 22:18:50.008601,100,legitimate,True,31925,981
post_0007,Emergency fund should be your first priority before investing,whatsapp,2025-08-20 22:18:50.008605,216,legitimate,True,40196,751
post_0008,Consider diversifying your portfolio with index funds for long-term growth,telegram,2025-08-17 22:18:50.008608,263,legitimate,False,27090,897
post_0009,Always read the offer document before investing in any mutual fund scheme,twitter,2025-08-17 22:18:50.008612,256,legitimate,False,18377,296
post_0010,Dollar-cost averaging can help reduce the impact of market volatility,telegram,2025-08-16 22:18:50.008615,490,legitimate,False,4273,788
post_0011,Consider diversifying your portfolio with index funds for long-term growth,instagram,2025-08-18 22:18:50.008618,397,legitimate,True,39859,643
post_0012,💰 I made ₹50 lakhs in one week using this simple trick. DM for details!,whatsapp,2025-08-15 22:18:50.008622,648,fraudulent,False,42737,223
post_0013,Research shows that systematic investment plans help build wealth over time,twitter,2025-08-19 22:18:50.008625,93,legitimate,True,24958,894
post_0014,Always read the offer document before investing in any mutual fund scheme,telegram,2025-08-19 22:18:50.008629,169,legitimate,True,22013,839
post_0015,Regular portfolio review with rebalancing is essential for long-term success,telegram,2025-08-08 22:18:50.008637,139,legitimate,False,17638,198
post_0016,Tax-saving investments under 80C can provide good returns with tax benefits,twitter,2025-08-12 22:18:50.008640,370,legitimate,False,600,829
post_0017,Consult a SEBI registered advisor before making major investment decisions,instagram,2025-09-02 22:18:50.008644,393,legitimate,True,46660,224
post_0018,Dollar-cost averaging can help reduce the impact of market volatility,facebook,2025-08-05 22:18:50.008647,312,legitimate,False,49141,654
post_0019,Tax-saving investments under 80C can provide good returns with tax benefits,whatsapp,2025-08-28 22:18:50.008650,384,legitimate,False,24212,596
post_0020,Asset allocation is key to managing investment risk effectively,whatsapp,2025-08-24 22:18:50.008653,388,legitimate,False,2275,183
post_0021,Dollar-cost averaging can help reduce the impact of market volatility,whatsapp,2025-08-27 22:18:50.008656,134,legitimate,False,3739,987
post_0022,Research shows that systematic investment plans help build wealth over time,telegram,2025-08-22 22:18:50.008659,111,legitimate,True,20961,646
post_0023,Dollar-cost averaging can help reduce the impact of market volatility,whatsapp,2025-08-10 22:18:50.008663,97,legitimate,False,19306,394
post_0024,Research shows that systematic investment plans help build wealth over time,telegram,2025-08-10 22:18:50.008666,290,legitimate,False,39081,276
post_0025,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,telegram,2025-08-20 22:18:50.008669,888,fraudulent,False,6161,606
post_0026,AI trading bot with 99.9% success rate! Make money while you sleep! 🤖💸,twitter,2025-08-23 22:18:50.008672,4027,fraudulent,False,31471,3
post_0027,BREAKING: XYZ stock will moon tomorrow! Buy before 9 AM. Secret insider info!,whatsapp,2025-08-22 22:18:50.008675,4373,fraudulent,False,36298,424
post_0028,Emergency fund should be your first priority before investing,facebook,2025-08-06 22:18:50.008678,359,legitimate,True,9553,572
post_0029,PUMP ALERT: Everyone buy ABC stock at 2 PM sharp! Let's take it to the moon! 🌙,facebook,2025-08-10 22:18:50.008681,1182,fraudulent,False,5727,912
post_0030,Celebrity XYZ recommends this stock in viral video! Don't miss out!,telegram,2025-08-08 22:18:50.008684,2900,fraudulent,False,26875,822
post_0031,🚀 GUARANTEED 500% returns in 30 days! Join our premium Telegram group NOW!,facebook,2025-08-07 22:18:50.008687,2854,fraudulent,False,33740,913
post_0032,Regular portfolio review with rebalancing is essential for long-term success,instagram,2025-08-05 22:18:50.008690,29,legitimate,True,28992,76
post_0033,Emergency fund should be your first priority before investing,facebook,2025-08-22 22:18:50.008694,214,legitimate,False,46193,711
post_0034,Market volatility is normal - stick to your investment plan and don't panic,whatsapp,2025-08-30 22:18:50.008697,356,legitimate,False,46698,785
post_0035,BREAKING: XYZ stock will moon tomorrow! Buy before 9 AM. Secret insider info!,twitter,2025-09-02 22:18:50.008701,3258,fraudulent,False,38755,872
post_0036,Emergency fund should be your first priority before investing,whatsapp,2025-08-07 22:18:50.008707,35,legitimate,False,19067,984
post_0037,Consider diversifying your portfolio with index funds for long-term growth,facebook,2025-08-30 22:18:50.008711,416,legitimate,True,3586,579
post_0038,Asset allocation is key to managing investment risk effectively,telegram,2025-08-21 22:18:50.008714,468,legitimate,True,47322,348
post_0039,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,instagram,2025-08-07 22:18:50.008717,2884,fraudulent,False,22150,748
post_0040,Regular portfolio review with rebalancing is essential for long-term success,instagram,2025-08-22 22:18:50.008720,389,legitimate,True,38428,985
post_0041,Emergency fund should be your first priority before investing,instagram,2025-08-21 22:18:50.008724,53,legitimate,False,47599,128
post_0042,Exclusive IPO allocation guaranteed! No lottery system. Pay only ₹5000 advance,instagram,2025-09-01 22:18:50.008727,2423,fraudulent,False,46433,936
post_0043,Asset allocation is key to managing investment risk effectively,telegram,2025-09-03 22:18:50.008730,81,legitimate,False,30337,334
post_0044,AI trading bot with 99.9% success rate! Make money while you sleep! 🤖💸,whatsapp,2025-08-12 22:18:50.008733,1932,fraudulent,False,47927,389
post_0045,BREAKING: XYZ stock will moon tomorrow! Buy before 9 AM. Secret insider info!,whatsapp,2025-08-28 22:18:50.008735,4538,fraudulent,False,1329,511
post_0046,BREAKING: XYZ stock will moon tomorrow! Buy before 9 AM. Secret insider info!,telegram,2025-08-21 22:18:50.008738,1305,fraudulent,False,23548,248
post_0047,Consult a SEBI registered advisor before making major investment decisions,facebook,2025-08-31 22:18:50.008741,488,legitimate,True,12501,153
post_0048,🚀 GUARANTEED 500% returns in 30 days! Join our premium Telegram group NOW!,instagram,2025-08-08 22:18:50.008744,1593,fraudulent,False,26374,602
post_0049,🚀 GUARANTEED 500% returns in 30 days! Join our premium Telegram group NOW!,whatsapp,2025-08-08 22:18:50.008747,1854,fraudulent,False,3732,975
post_0050,Emergency fund should be your first priority before investing,facebook,2025-08-18 22:18:50.008750,191,legitimate,True,13415,526
post_0051,Celebrity XYZ recommends this stock in viral video! Don't miss out!,telegram,2025-08-19 22:18:50.008753,4802,fraudulent,False,34573,489
post_0052,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,whatsapp,2025-08-14 22:18:50.008756,4258,fraudulent,False,15658,226
post_0053,Emergency fund should be your first priority before investing,instagram,2025-08-20 22:18:50.008759,408,legitimate,True,45303,463
post_0054,Tax-saving investments under 80C can provide good returns with tax benefits,whatsapp,2025-08-15 22:18:50.008766,443,legitimate,True,34995,433
post_0055,Emergency fund should be your first priority before investing,whatsapp,2025-08-17 22:18:50.008769,378,legitimate,True,36092,264
post_0056,Always read the offer document before investing in any mutual fund scheme,facebook,2025-08-09 22:18:50.008773,359,legitimate,False,46504,713
post_0057,Research shows that systematic investment plans help build wealth over time,whatsapp,2025-08-29 22:18:50.008776,500,legitimate,True,8076,469
post_0058,🚀 GUARANTEED 500% returns in 30 days! Join our premium Telegram group NOW!,instagram,2025-08-06 22:18:50.008779,643,fraudulent,False,15156,640
post_0059,URGENT: This penny stock will be the next TESLA! Limited time offer - invest ₹10K get ₹1L,facebook,2025-08-12 22:18:50.008782,1343,fraudulent,False,32183,139
post_0060,💰 I made ₹50 lakhs in one week using this simple trick. DM for details!,telegram,2025-08-18 22:18:50.008784,4431,fraudulent,False,13418,508
post_0061,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,whatsapp,2025-08-08 22:18:50.008787,4496,fraudulent,False,45252,564
post_0062,Research shows that systematic investment plans help build wealth over time,twitter,2025-09-03 22:18:50.008790,391,legitimate,True,30366,214
post_0063,Consult a SEBI registered advisor before making major investment decisions,twitter,2025-08-31 22:18:50.008793,491,legitimate,True,12818,879
post_0064,Consult a SEBI registered advisor before making major investment decisions,facebook,2025-08-17 22:18:50.008796,417,legitimate,True,47289,477
post_0065,💰 I made ₹50 lakhs in one week using this simple trick. DM for details!,instagram,2025-08-05 22:18:50.008801,3048,fraudulent,False,28598,504
post_0066,Research shows that systematic investment plans help build wealth over time,instagram,2025-08-19 22:18:50.008804,52,legitimate,True,10520,598
post_0067,URGENT: This penny stock will be the next TESLA! Limited time offer - invest ₹10K get ₹1L,instagram,2025-08-13 22:18:50.008809,917,fraudulent,False,45427,482
post_0068,Asset allocation is key to managing investment risk effectively,twitter,2025-08-16 22:18:50.008812,436,legitimate,False,45667,590
post_0069,BREAKING: XYZ stock will moon tomorrow! Buy before 9 AM. Secret insider info!,twitter,2025-08-10 22:18:50.008815,2462,fraudulent,False,24912,573
post_0070,Always read the offer document before investing in any mutual fund scheme,instagram,2025-08-21 22:18:50.008818,318,legitimate,True,18334,150
post_0071,AI trading bot with 99.9% success rate! Make money while you sleep! 🤖💸,twitter,2025-09-03 22:18:50.008821,2735,fraudulent,False,2302,830
post_0072,URGENT: This penny stock will be the next TESLA! Limited time offer - invest ₹10K get ₹1L,telegram,2025-08-31 22:18:50.008824,3381,fraudulent,False,45955,480
post_0073,Consider diversifying your portfolio with index funds for long-term growth,telegram,2025-09-03 22:18:50.008827,443,legitimate,True,6888,327
post_0074,Dollar-cost averaging can help reduce the impact of market volatility,whatsapp,2025-08-16 22:18:50.008832,199,legitimate,False,115,847
post_0075,Celebrity XYZ recommends this stock in viral video! Don't miss out!,twitter,2025-08-31 22:18:50.008835,1991,fraudulent,False,36805,226
post_0076,Consider diversifying your portfolio with index funds for long-term growth,whatsapp,2025-09-03 22:18:50.008839,414,legitimate,False,15285,798
post_0077,Asset allocation is key to managing investment risk effectively,instagram,2025-09-01 22:18:50.008844,446,legitimate,False,30966,967
post_0078,Tax-saving investments under 80C can provide good returns with tax benefits,facebook,2025-08-13 22:18:50.008847,193,legitimate,True,29337,584
post_0079,PUMP ALERT: Everyone buy ABC stock at 2 PM sharp! Let's take it to the moon! 🌙,facebook,2025-08-08 22:18:50.008849,3024,fraudulent,False,3285,961
post_0080,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,facebook,2025-09-02 22:18:50.008852,4504,fraudulent,False,34184,497
post_0081,Regular portfolio review with rebalancing is essential for long-term success,facebook,2025-08-05 22:18:50.008855,155,legitimate,False,3943,238
post_0082,URGENT: This penny stock will be the next TESLA! Limited time offer - invest ₹10K get ₹1L,twitter,2025-08-08 22:18:50.008858,2482,fraudulent,False,2839,451
post_0083,Market volatility is normal - stick to your investment plan and don't panic,instagram,2025-08-31 22:18:50.008861,246,legitimate,True,15408,165
post_0084,Asset allocation is key to managing investment risk effectively,instagram,2025-08-26 22:18:50.008864,326,legitimate,True,38113,991
post_0085,Consider diversifying your portfolio with index funds for long-term growth,whatsapp,2025-08-13 22:18:50.008867,169,legitimate,False,47469,712
post_0086,Consider diversifying your portfolio with index funds for long-term growth,facebook,2025-08-31 22:18:50.008870,374,legitimate,False,46590,160
post_0087,Asset allocation is key to managing investment risk effectively,whatsapp,2025-08-11 22:18:50.008873,141,legitimate,True,10174,584
post_0088,Dollar-cost averaging can help reduce the impact of market volatility,whatsapp,2025-08-27 22:18:50.008876,344,legitimate,False,32298,717
post_0089,Dollar-cost averaging can help reduce the impact of market volatility,instagram,2025-08-06 22:18:50.008879,296,legitimate,False,16089,758
post_0090,Always read the offer document before investing in any mutual fund scheme,facebook,2025-08-11 22:18:50.008882,345,legitimate,False,445,104
post_0091,Regular portfolio review with rebalancing is essential for long-term success,facebook,2025-08-14 22:18:50.008885,355,legitimate,True,2245,368
post_0092,Dollar-cost averaging can help reduce the impact of market volatility,whatsapp,2025-08-12 22:18:50.008888,106,legitimate,False,7582,944
post_0093,Emergency fund should be your first priority before investing,instagram,2025-08-29 22:18:50.008894,176,legitimate,False,43580,745
post_0094,Asset allocation is key to managing investment risk effectively,telegram,2025-08-31 22:18:50.008897,271,legitimate,True,44146,577
post_0095,Tax-saving investments under 80C can provide good returns with tax benefits,instagram,2025-08-12 22:18:50.008900,411,legitimate,False,24659,909
post_0096,Emergency fund should be your first priority before investing,whatsapp,2025-08-29 22:18:50.008904,361,legitimate,True,6203,990
post_0097,Government approved scheme! Tax-free returns of 40% annually guaranteed!,twitter,2025-08-14 22:18:50.008907,604,fraudulent,False,1358,5
post_0098,Regular portfolio review with rebalancing is essential for long-term success,facebook,2025-09-01 22:18:50.008910,168,legitimate,True,7567,757
post_0099,BREAKING: XYZ stock will moon tomorrow! Buy before 9 AM. Secret insider info!,whatsapp,2025-08-19 22:18:50.008915,3682,fraudulent,False,20306,480
post_0100,Consult a SEBI registered advisor before making major investment decisions,twitter,2025-08-27 22:18:50.008918,64,legitimate,True,25701,401
post_0101,Consider diversifying your portfolio with index funds for long-term growth,telegram,2025-08-16 22:18:50.008921,131,legitimate,True,728,634
post_0102,Regular portfolio review with rebalancing is essential for long-term success,instagram,2025-08-15 22:18:50.008924,205,legitimate,True,23194,909
post_0103,Emergency fund should be your first priority before investing,twitter,2025-08-06 22:18:50.008927,335,legitimate,False,42949,594
post_0104,Market volatility is normal - stick to your investment plan and don't panic,telegram,2025-08-24 22:18:50.008932,475,legitimate,True,41246,562
post_0105,Tax-saving investments under 80C can provide good returns with tax benefits,telegram,2025-08-15 22:18:50.008935,57,legitimate,True,15041,551
post_0106,🚀 GUARANTEED 500% returns in 30 days! Join our premium Telegram group NOW!,facebook,2025-08-17 22:18:50.008961,2130,fraudulent,False,43569,10
post_0107,SECRET FORMULA REVEALED! Turn ₹1000 into ₹1 lakh in 15 days! Limited seats!,whatsapp,2025-08-07 22:18:50.008964,4258,fraudulent,False,25980,360
post_0108,Emergency fund should be your first priority before investing,twitter,2025-09-01 22:18:50.008968,75,legitimate,True,12613,793
post_0109,PUMP ALERT: Everyone buy ABC stock at 2 PM sharp! Let's take it to the moon! 🌙,whatsapp,2025-08-20 22:18:50.008971,3123,fraudulent,False,37254,154
post_0110,Tax-saving investments under 80C can provide good returns with tax benefits,instagram,2025-08-05 22:18:50.008975,128,legitimate,True,14106,591
post_0111,Emergency fund should be your first priority before investing,whatsapp,2025-08-07 22:18:50.008978,294,legitimate,True,43229,436
